Date,Category,Amount
2024-01-01,food & Dining,324.84
2024-01-01,Travel & Transportation,95.85
2024-01-01,Bills & Utilities,564.77
2024-01-01,Entertainment,0.0
2024-01-01,shopping,222.32
2024-01-01,health & Medical,0.0
2024-01-01,Education,0.0
2024-01-02,food & Dining,273.74
2024-01-02,Travel & Transportation,107.26
2024-01-02,Bills & Utilities,308.67
2024-01-02,Entertainment,0.0
2024-01-02,shopping,0.0
2024-01-02,health & Medical,0.0
2024-01-02,Education,0.0
2024-01-03,food & Dining,303.38
2024-01-03,Travel & Transportation,57.26
2024-01-03,Bills & Utilities,445.56
2024-01-03,Entertainment,0.0
2024-01-03,shopping,0.0
2024-01-03,health & Medical,0.0
2024-01-03,Education,0.0
2024-01-04,food & Dining,291.91
2024-01-04,Travel & Transportation,124.68
2024-01-04,Bills & Utilities,377.92
2024-01-04,Entertainment,0.0
2024-01-04,shopping,0.0
2024-01-04,health & Medical,0.0
2024-01-04,Education,0.0
2024-01-05,food & Dining,294.22
2024-01-05,Travel & Transportation,90.97
2024-01-05,Bills & Utilities,352.15
2024-01-05,Entertainment,99.61
2024-01-05,shopping,0.0
2024-01-05,health & Medical,0.0
2024-01-05,Education,0.0
2024-01-06,food & Dining,344.39
2024-01-06,Travel & Transportation,74.82
2024-01-06,Bills & Utilities,469.08
2024-01-06,Entertainment,0.0
2024-01-06,shopping,0.0
2024-01-06,health & Medical,0.0
2024-01-06,Education,0.0
2024-01-07,food & Dining,296.4
2024-01-07,Travel & Transportation,130.11
2024-01-07,Bills & Utilities,536.16
2024-01-07,Entertainment,104.84
2024-01-07,shopping,0.0
2024-01-07,health & Medical,0.0
2024-01-07,Education,0.0
2024-01-08,food & Dining,296.96
2024-01-08,Travel & Transportation,102.61
2024-01-08,Bills & Utilities,470.1
2024-01-08,Entertainment,156.42
2024-01-08,shopping,0.0
2024-01-08,health & Medical,0.0
2024-01-08,Education,0.0
2024-01-09,food & Dining,259.58
2024-01-09,Travel & Transportation,84.95
2024-01-09,Bills & Utilities,591.54
2024-01-09,Entertainment,173.01
2024-01-09,shopping,309.75
2024-01-09,health & Medical,0.0
2024-01-09,Education,0.0
2024-01-10,food & Dining,281.61
2024-01-10,Travel & Transportation,108.88
2024-01-10,Bills & Utilities,526.11
2024-01-10,Entertainment,0.0
2024-01-10,shopping,0.0
2024-01-10,health & Medical,86.29
2024-01-10,Education,0.0
2024-01-11,food & Dining,394.31
2024-01-11,Travel & Transportation,105.24
2024-01-11,Bills & Utilities,525.76
2024-01-11,Entertainment,144.79
2024-01-11,shopping,0.0
2024-01-11,health & Medical,0.0
2024-01-11,Education,0.0
2024-01-12,food & Dining,278.37
2024-01-12,Travel & Transportation,94.23
2024-01-12,Bills & Utilities,530.15
2024-01-12,Entertainment,147.57
2024-01-12,shopping,0.0
2024-01-12,health & Medical,0.0
2024-01-12,Education,0.0
2024-01-13,food & Dining,370.14
2024-01-13,Travel & Transportation,57.94
2024-01-13,Bills & Utilities,558.69
2024-01-13,Entertainment,0.0
2024-01-13,shopping,0.0
2024-01-13,health & Medical,0.0
2024-01-13,Education,0.0
2024-01-14,food & Dining,343.68
2024-01-14,Travel & Transportation,53.48
2024-01-14,Bills & Utilities,506.86
2024-01-14,Entertainment,0.0
2024-01-14,shopping,0.0
2024-01-14,health & Medical,68.67
2024-01-14,Education,0.0
2024-01-15,food & Dining,340.68
2024-01-15,Travel & Transportation,63.07
2024-01-15,Bills & Utilities,522.75
2024-01-15,Entertainment,0.0
2024-01-15,shopping,174.04
2024-01-15,health & Medical,91.77
2024-01-15,Education,0.0
2024-01-16,food & Dining,359.54
2024-01-16,Travel & Transportation,115.66
2024-01-16,Bills & Utilities,529.7
2024-01-16,Entertainment,0.0
2024-01-16,shopping,0.0
2024-01-16,health & Medical,0.0
2024-01-16,Education,0.0
2024-01-17,food & Dining,393.29
2024-01-17,Travel & Transportation,114.21
2024-01-17,Bills & Utilities,380.87
2024-01-17,Entertainment,195.96
2024-01-17,shopping,139.91
2024-01-17,health & Medical,0.0
2024-01-17,Education,0.0
2024-01-18,food & Dining,347.03
2024-01-18,Travel & Transportation,92.64
2024-01-18,Bills & Utilities,424.63
2024-01-18,Entertainment,87.73
2024-01-18,shopping,0.0
2024-01-18,health & Medical,0.0
2024-01-18,Education,0.0
2024-01-19,food & Dining,286.77
2024-01-19,Travel & Transportation,181.61
2024-01-19,Bills & Utilities,562.57
2024-01-19,Entertainment,0.0
2024-01-19,shopping,0.0
2024-01-19,health & Medical,94.51
2024-01-19,Education,243.79
2024-01-20,food & Dining,337.02
2024-01-20,Travel & Transportation,74.6
2024-01-20,Bills & Utilities,348.52
2024-01-20,Entertainment,0.0
2024-01-20,shopping,0.0
2024-01-20,health & Medical,0.0
2024-01-20,Education,0.0
2024-01-21,food & Dining,302.91
2024-01-21,Travel & Transportation,65.71
2024-01-21,Bills & Utilities,535.78
2024-01-21,Entertainment,0.0
2024-01-21,shopping,0.0
2024-01-21,health & Medical,0.0
2024-01-21,Education,265.22
2024-01-22,food & Dining,312.86
2024-01-22,Travel & Transportation,115.45
